construccion	md5	posicion	tipo	puntuacion
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	254	aceptor	1.07328e-05
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	254	donante	0.0467848
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	429	aceptor	7.21398e-05
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	429	donante	0.109117
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	1131	aceptor	1.76478e-05
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	1131	donante	0.0602417
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	1156	aceptor	4.98756e-06
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	1156	donante	0.0542151
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	1516	aceptor	6.34547e-05
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	1516	donante	0.747283
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	1751	aceptor	0.083164
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	1751	donante	2.72063e-05
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	2034	aceptor	0.299282
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	2034	donante	0.000390483
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3120	aceptor	7.89874e-07
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3120	donante	9.95682e-07
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3121	aceptor	1.34059e-07
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3121	donante	2.03915e-06
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3122	aceptor	1.27728e-05
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3122	donante	3.18826e-06
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3123	aceptor	2.13897e-07
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3123	donante	1.55375e-06
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3124	aceptor	4.99102e-07
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3124	donante	2.03258e-05
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3125	aceptor	1.06483e-06
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3125	donante	7.63933e-07
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3126	aceptor	1.77905e-05
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3126	donante	0.00914147
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3127	aceptor	3.37555e-07
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3127	donante	6.57635e-07
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3128	aceptor	2.53994e-07
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3128	donante	2.6969e-07
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3129	aceptor	3.13995e-07
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3129	donante	4.84147e-07
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3130	aceptor	6.71197e-07
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3130	donante	2.82293e-06
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3131	aceptor	2.56681e-07
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3131	donante	4.71449e-07
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3132	aceptor	1.92183e-06
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3132	donante	5.05353e-07
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3133	aceptor	7.5753e-05
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3133	donante	0.783247
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3134	aceptor	1.10518e-06
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3134	donante	2.29724e-07
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3135	aceptor	7.88302e-08
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3135	donante	1.55476e-06
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3136	aceptor	7.40827e-08
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3136	donante	1.39925e-06
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3137	aceptor	9.29197e-08
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3137	donante	1.87508e-06
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3138	aceptor	1.92542e-07
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3138	donante	1.08382e-06
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3139	aceptor	5.03191e-06
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3139	donante	4.18981e-05
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3140	aceptor	2.85157e-07
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3140	donante	3.25648e-07
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3141	aceptor	1.32956e-07
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3141	donante	7.14241e-07
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3142	aceptor	4.34967e-08
mvm_actual__3utr959	72b7e3468b6447a8fa7ea0fd5ca09594	3142	donante	6.90582e-08
