construccion	md5	posicion	tipo	puntuacion
mvm_actual__3utr959	778b1dafc688d5c95deb738524845770	429	aceptor	7.21264e-05
mvm_actual__3utr959	778b1dafc688d5c95deb738524845770	429	donante	0.109089
mvm_actual__3utr959	778b1dafc688d5c95deb738524845770	1131	aceptor	1.75772e-05
mvm_actual__3utr959	778b1dafc688d5c95deb738524845770	1131	donante	0.0606683
mvm_actual__3utr959	778b1dafc688d5c95deb738524845770	1156	aceptor	5.01721e-06
mvm_actual__3utr959	778b1dafc688d5c95deb738524845770	1156	donante	0.0544703
mvm_actual__3utr959	778b1dafc688d5c95deb738524845770	1516	aceptor	6.34158e-05
mvm_actual__3utr959	778b1dafc688d5c95deb738524845770	1516	donante	0.744265
mvm_actual__3utr959	778b1dafc688d5c95deb738524845770	3120	aceptor	6.22857e-07
mvm_actual__3utr959	778b1dafc688d5c95deb738524845770	3120	donante	8.20059e-07
mvm_actual__3utr959	778b1dafc688d5c95deb738524845770	3121	aceptor	1.13804e-07
mvm_actual__3utr959	778b1dafc688d5c95deb738524845770	3121	donante	1.63029e-06
mvm_actual__3utr959	778b1dafc688d5c95deb738524845770	3122	aceptor	1.01686e-05
mvm_actual__3utr959	778b1dafc688d5c95deb738524845770	3122	donante	3.2072e-06
mvm_actual__3utr959	778b1dafc688d5c95deb738524845770	3123	aceptor	1.39986e-07
mvm_actual__3utr959	778b1dafc688d5c95deb738524845770	3123	donante	9.80893e-07
mvm_actual__3utr959	778b1dafc688d5c95deb738524845770	3124	aceptor	4.10328e-07
mvm_actual__3utr959	778b1dafc688d5c95deb738524845770	3124	donante	1.904e-05
mvm_actual__3utr959	778b1dafc688d5c95deb738524845770	3125	aceptor	9.10574e-07
mvm_actual__3utr959	778b1dafc688d5c95deb738524845770	3125	donante	5.44884e-07
mvm_actual__3utr959	778b1dafc688d5c95deb738524845770	3126	aceptor	1.42903e-05
mvm_actual__3utr959	778b1dafc688d5c95deb738524845770	3126	donante	0.00710453
mvm_actual__3utr959	778b1dafc688d5c95deb738524845770	3127	aceptor	2.5585e-07
mvm_actual__3utr959	778b1dafc688d5c95deb738524845770	3127	donante	4.84539e-07
mvm_actual__3utr959	778b1dafc688d5c95deb738524845770	3128	aceptor	1.69102e-07
mvm_actual__3utr959	778b1dafc688d5c95deb738524845770	3128	donante	1.93085e-07
mvm_actual__3utr959	778b1dafc688d5c95deb738524845770	3129	aceptor	2.12943e-07
mvm_actual__3utr959	778b1dafc688d5c95deb738524845770	3129	donante	3.10694e-07
